the_geom,ma,comuna,direccion,ubicacion,horarios,cartodb_id,mi,ju,vi,sa,_do
,0, Providencia, Santa María, entre Calle del Arzobispo y Los Piñones, Ju y Do,1,0,1,0,0,1
,0, Providencia, Los Concilios, entre Arquitecto Pauly y Chile-España, Vi,2,0,0,1,0,0
,0, Providencia, Manuel Montt, entre Santa Isabel y Obispo Alday, Sá,3,0,0,0,1,0
,1, Pudahuel, Victoria, entre Las Peñas y Dos Coronas, Ma y Vi,4,0,0,1,0,0
,0, Pudahuel, Serrano, entre San Daniel y Yungay, Ju y Do,5,0,1,0,0,1
,0, Pudahuel, Corona Sueca, entre Los Ediles y El Salitre, Mi y Sá,6,1,0,0,1,0
,0, Pudahuel, Faldas del Morro, entre La Estrella y Osa Mayor, Ju y Do,7,0,1,0,0,1
,1, Pudahuel, La Travesía, entre Oceanía e Isla Grande de Tierra del Fuego, Ma y Vi,8,0,0,1,0,0
,0, Pudahuel, La Estrella, entre Laguna Sur y Los Mares, Ju y Do,9,0,1,0,0,1
,1, Pudahuel, Teniente Cruz, entre Ricardo Vial y San Francisco, Ma y Vi,10,0,0,1,0,0
,0, Pudahuel, La Travesía, entre Teniente Cruz y Mar de Drake, Mi y Sá,11,1,0,0,1,0
,1, Puente alto, Laja, entre Circunvalación y Marcos Pérez, Ma,12,0,0,0,0,0
,0, Puente alto, Las Nieves Oriente, entre San Juan y Los Maillines, Do,13,0,0,0,0,1
,0, Puente alto, Río Colorado, entre Estero Leonera y Estero Puangue, Do,14,0,0,0,0,1
,1, Puente alto, Miguel Ángel, entre Ejército Libertador y Creta, Ma,15,0,0,0,0,0
,0, Puente alto, El Peñón, entre Valle Central y Nonato Coo, Mi y Sá,16,1,0,0,1,0
,0, Puente alto, Creta, entre Sagasca y Gabriela, Vi,17,0,0,1,0,0
,0, Puente alto, La Balanza, entre San Carlos y Domingo Tocornal, Vi,18,0,0,1,0,0
,1, Puente alto, Juan de Dios Malebrán, entre Ernesto Alvear y Teniente Bello, Ma,19,0,0,0,0,0
,0, Puente alto, Luis Matte Larraín, entre Palo de Rosa y Osa Mayor, Sá,20,0,0,0,1,0
,0, Puente alto, Ejército Libertador, entre Luis Matte Larraín y Padre Hurtado, Do,21,0,0,0,0,1
,0, Puente alto, Río Queltehues, entre Río Yeso y Río Volcán, Vi,22,0,0,1,0,0
,0, Puente alto, Miguel Ángel, entre Juan de Dios Malebrán y Rimbaud, Sá,23,0,0,0,1,0
,0, Puente alto, Ulises, entre Gabriela y Venus, Mi,24,1,0,0,0,0
,0, Puente alto, Arturo Prat, entre Uruguay y Ejército Libertador, Do,25,0,0,0,0,1
,0, Puente alto, Los Toros, entre Concha y Toro y Nemesio Vicuña, Do,26,0,0,0,0,1
,0, Puente alto, Los Toros, entre Nonato Coo y México, Sá,27,0,0,0,1,0
,0, Puente alto, Las Nieves Oriente, entre Gabriela Oriente y El Peñón, Ju,28,0,1,0,0,0
,0, Puente alto, El Peral, entre Nonato Coo y El Hidalgo, Mi,29,1,0,0,0,0
,1, Puente alto, Ángel Pimentel, entre Chayavientos y El Quillay, Ma,30,0,0,0,0,0
,0, Puente alto, Tomé, entre Los Loros y Circunvalación, Do,31,0,0,0,0,1
