autor1,autor2,nProyectos
Hasbún Selume: Gustavo,Morales Muñoz: Celso,94
Hernández Hernández: Javier,Morales Muñoz: Celso,93
Hasbún Selume: Gustavo,Ward Edwards: Felipe,86
Hasbún Selume: Gustavo,Hernández Hernández: Javier,84
Morales Muñoz: Celso,Ward Edwards: Felipe,81
Hernández Hernández: Javier,Ward Edwards: Felipe,76
Morales Muñoz: Celso,Norambuena Farías: Iván,73
Hoffmann Opazo: María José,Ward Edwards: Felipe,72
Hernández Hernández: Javier,Sandoval Plaza: David,72
Hernández Hernández: Javier,Norambuena Farías: Iván,71
Hoffmann Opazo: María José,Morales Muñoz: Celso,71
Hasbún Selume: Gustavo,Hoffmann Opazo: María José,69
Nogueira Fernández: Claudia,Ward Edwards: Felipe,69
Arriagada Macaya: Claudio,Hernando Pérez: Marcela,69
Norambuena Farías: Iván,Ward Edwards: Felipe,68
Coloma Alamos: Juan Antonio,Morales Muñoz: Celso,67
Hasbún Selume: Gustavo,Nogueira Fernández: Claudia,65
García García: René Manuel,Paulsen Kehr: Diego,65
Coloma Alamos: Juan Antonio,Ward Edwards: Felipe,65
Molina Oliva: Andrea,Nogueira Fernández: Claudia,64
Farcas Guendelman: Daniel,Silber Romo: Gabriel,64
Hernando Pérez: Marcela,Robles Pantoja: Alberto,64
Morales Muñoz: Celso,Nogueira Fernández: Claudia,64
Coloma Alamos: Juan Antonio,Hasbún Selume: Gustavo,63
Carvajal Ambiado: Loreto,Hernando Pérez: Marcela,63
Hasbún Selume: Gustavo,Norambuena Farías: Iván,62
Coloma Alamos: Juan Antonio,Hoffmann Opazo: María José,61
Espinosa Monardes: Marcos,Hernando Pérez: Marcela,61
Hernández Hernández: Javier,Nogueira Fernández: Claudia,61
Hernández Hernández: Javier,Hoffmann Opazo: María José,61
Hoffmann Opazo: María José,Nogueira Fernández: Claudia,61
Morales Muñoz: Celso,Sandoval Plaza: David,60
Alvarado Ramírez: Miguel Ángel,Hernando Pérez: Marcela,60
Gahona Salazar: Sergio,Morales Muñoz: Celso,60
Gahona Salazar: Sergio,Hernández Hernández: Javier,59
Coloma Alamos: Juan Antonio,Nogueira Fernández: Claudia,58
Sandoval Plaza: David,Urrutia Soto: Osvaldo,58
Hernando Pérez: Marcela,Sepúlveda Orbenes: Alejandra,58
Pérez Lahsen: Leopoldo,Sabat Fernández: Marcela,58
Flores García: Iván,Hernando Pérez: Marcela,57
Gahona Salazar: Sergio,Ward Edwards: Felipe,56
Hoffmann Opazo: María José,Molina Oliva: Andrea,56
Molina Oliva: Andrea,Morales Muñoz: Celso,54
Hasbún Selume: Gustavo,Sandoval Plaza: David,54
Molina Oliva: Andrea,Ward Edwards: Felipe,54
García García: René Manuel,Pérez Lahsen: Leopoldo,53
Pérez Lahsen: Leopoldo,Santana Tirachini: Alejandro,53
Hernando Pérez: Marcela,Torres Jeldes: Víctor,53
Morales Muñoz: Celso,Urrutia Bonilla: Ignacio,53
Berger Fett: Bernardo,Rathgeb Schifferli: Jorge,53
Sandoval Plaza: David,Ward Edwards: Felipe,52
Farcas Guendelman: Daniel,Hernando Pérez: Marcela,51
Espinosa Monardes: Marcos,Robles Pantoja: Alberto,51
Cariola Oliva: Karol,Vallejo Dowling: Camila,51
Pérez Lahsen: Leopoldo,Verdugo Soto: Germán,51
Coloma Alamos: Juan Antonio,Hernández Hernández: Javier,50
Hasbún Selume: Gustavo,Urrutia Soto: Osvaldo,50
Gahona Salazar: Sergio,Hasbún Selume: Gustavo,50
Coloma Alamos: Juan Antonio,Norambuena Farías: Iván,50
Alvarez-Salamanca Ramírez: Pedro Pablo,Morales Muñoz: Celso,50
Espinosa Monardes: Marcos,Meza Moncada: Fernando,50
Monckeberg Bruner: Cristián,Sabat Fernández: Marcela,50
Hasbún Selume: Gustavo,Urrutia Bonilla: Ignacio,50
Macaya Danús: Javier,Ward Edwards: Felipe,50
Arriagada Macaya: Claudio,Sepúlveda Orbenes: Alejandra,50
Hernández Hernández: Javier,Lavín León: Joaquín,49
Kast Rist: José Antonio,Ward Edwards: Felipe,49
Hasbún Selume: Gustavo,Molina Oliva: Andrea,49
Hernando Pérez: Marcela,Jarpa Wevar: Carlos Abel,49
Morales Muñoz: Celso,Van Rysselberghe Herrera: Enrique,49
Gahona Salazar: Sergio,Sandoval Plaza: David,49
Coloma Alamos: Juan Antonio,Gahona Salazar: Sergio,49
García García: René Manuel,Santana Tirachini: Alejandro,49
Fuenzalida Figueroa: Gonzalo,Sabat Fernández: Marcela,48
Nogueira Fernández: Claudia,Sandoval Plaza: David,48
García García: René Manuel,Rathgeb Schifferli: Jorge,47
Hoffmann Opazo: María José,Kast Rist: José Antonio,47
García García: René Manuel,Verdugo Soto: Germán,47
García García: René Manuel,Sabat Fernández: Marcela,47
Morales Muñoz: Celso,Urrutia Soto: Osvaldo,47
Flores García: Iván,Morano Cornejo: Juan Enrique,47
Norambuena Farías: Iván,Sandoval Plaza: David,47
Hasbún Selume: Gustavo,Kast Rist: José Antonio,47
Nogueira Fernández: Claudia,Norambuena Farías: Iván,47
Gahona Salazar: Sergio,Nogueira Fernández: Claudia,46
Sabat Fernández: Marcela,Santana Tirachini: Alejandro,46
Espinosa Monardes: Marcos,Jarpa Wevar: Carlos Abel,46
Hoffmann Opazo: María José,Norambuena Farías: Iván,46
Becker Alvear: Germán,Pérez Lahsen: Leopoldo,46
Núñez Urrutia: Paulina,Sabat Fernández: Marcela,46
Hernando Pérez: Marcela,Meza Moncada: Fernando,46
Pérez Lahsen: Leopoldo,Rathgeb Schifferli: Jorge,46
Carvajal Ambiado: Loreto,Farcas Guendelman: Daniel,46
Paulsen Kehr: Diego,Rathgeb Schifferli: Jorge,45
Carmona Soto: Lautaro,Jiménez Fuentes: Tucapel,45
Sepúlveda Orbenes: Alejandra,Torres Jeldes: Víctor,45
Coloma Alamos: Juan Antonio,Urrutia Soto: Osvaldo,45
Macaya Danús: Javier,Morales Muñoz: Celso,45
Coloma Alamos: Juan Antonio,Molina Oliva: Andrea,45
Melero Abaroa: Patricio,Ward Edwards: Felipe,45
Rathgeb Schifferli: Jorge,Santana Tirachini: Alejandro,44
Hernández Hernández: Javier,Molina Oliva: Andrea,44
Bianchi Chelech: Carlos,Chahuán Chahuán: Francisco,44
Arriagada Macaya: Claudio,Torres Jeldes: Víctor,44
Monckeberg Bruner: Cristián,Pérez Lahsen: Leopoldo,44
Cariola Oliva: Karol,Teillier Del Valle: Guillermo,43
Girardi Lavín: Cristina,Sepúlveda Orbenes: Alejandra,43
Hoffmann Opazo: María José,Lavín León: Joaquín,43
Paulsen Kehr: Diego,Santana Tirachini: Alejandro,43
Fernández Allende: Maya,Poblete Zapata: Roberto,43
Trisotti Martínez: Renzo,Ward Edwards: Felipe,43
Berger Fett: Bernardo,García García: René Manuel,43
Ulloa Aguillón: Jorge,Urrutia Soto: Osvaldo,42
Norambuena Farías: Iván,Urrutia Soto: Osvaldo,42
Berger Fett: Bernardo,Pérez Lahsen: Leopoldo,42
Paulsen Kehr: Diego,Pérez Lahsen: Leopoldo,42
Paulsen Kehr: Diego,Sabat Fernández: Marcela,42
Van Rysselberghe Herrera: Enrique,Ward Edwards: Felipe,42
Urrutia Soto: Osvaldo,Ward Edwards: Felipe,42
Berger Fett: Bernardo,Santana Tirachini: Alejandro,42
Hoffmann Opazo: María José,Macaya Danús: Javier,42
Girardi Lavín: Cristina,Hernando Pérez: Marcela,42
Hernández Hernández: Javier,Urrutia Bonilla: Ignacio,42
Lavín León: Joaquín,Morales Muñoz: Celso,42
Núñez Urrutia: Paulina,Pérez Lahsen: Leopoldo,42
Jarpa Wevar: Carlos Abel,Robles Pantoja: Alberto,42
Alvarado Ramírez: Miguel Ángel,Farcas Guendelman: Daniel,41
Hoffmann Opazo: María José,Sandoval Plaza: David,41
Hoffmann Opazo: María José,Melero Abaroa: Patricio,41
Rathgeb Schifferli: Jorge,Sabat Fernández: Marcela,41
Kast Rist: José Antonio,Morales Muñoz: Celso,41
Hernández Hernández: Javier,Van Rysselberghe Herrera: Enrique,41
Hoffmann Opazo: María José,Turres Figueroa: Marisol,41
Hernández Hernández: Javier,Urrutia Soto: Osvaldo,41
Coloma Alamos: Juan Antonio,Trisotti Martínez: Renzo,40
Becker Alvear: Germán,Paulsen Kehr: Diego,40
Flores García: Iván,Torres Jeldes: Víctor,40
Chahin Valenzuela: Fuad,Rincón González: Ricardo,40
Andrade Lara: Osvaldo,Jiménez Fuentes: Tucapel,40
Molina Oliva: Andrea,Norambuena Farías: Iván,40
Monckeberg Bruner: Cristián,Núñez Urrutia: Paulina,40
Kort Garriga: Issa Farid,Ward Edwards: Felipe,40
Meza Moncada: Fernando,Robles Pantoja: Alberto,40
Fuenzalida Figueroa: Gonzalo,Pérez Lahsen: Leopoldo,40
Gahona Salazar: Sergio,Norambuena Farías: Iván,40
Jarpa Wevar: Carlos Abel,Meza Moncada: Fernando,40
