Nombre,Direccion,Comuna,Horarios,Latitud,Longitud
SAN MARTÍN,"Arturo Prat, entre Santa Teresita y 14 de Octubre",Cerrillos,Mi y Sá,-33.5000939,-70.7248766
MODELO,"Costanera Norte, entre Lo Errázuriz y Francia",Cerrillos,Ma y Vi,-33.4782488,-70.7203357
EL MIRADOR,"El Mirador, entre Divino Maestro y Las Torres",Cerrillos,Mi y Sá,-33.5023077,-70.7290098
VILLA MÉXICO,"Cinco de Abril, entre Salvador Allende y Los Tilos",Cerrillos,Ju y Do,-33.5078107,-70.7300173
BUZETA,"Avenida Cuatro, entre Buzeta y San Andrés",Cerrillos,Mi y Sá,-33.4805499,-70.6902166
SALOMÓN SACK,"Salomón Sack, entre Los Lirios y Comercio",Cerrillos,Ma y Vi,-33.494294,-70.7162326
FERROCARRIL,"Pedro Lagos Palacios, entre Lo Errázuriz y Santa Ana",Cerrillos,Ju y Do,-33.490308,-70.7229866
SARA GAJARDO,"Lo López, entre Neptuno y Domingo Faustino Sarmiento",Cerro Navia,Ma y Vi,-33.4187601,-70.7233146
LA CAPILLA,"La Capilla, entre Resbalón y Huelén",Cerro Navia,Ma y Vi,-33.4150162,-70.7382415
LOYOLA,"Camino de Loyola, entre Neptuno y Las Madreselvas",Cerro Navia,Ju y Do,-33.4364493,-70.7257386
EL MONTIJO,"Salvador Gutiérrez, entre La Estrella y Rolando Petersen",Cerro Navia,Ju y Do,-33.4313353,-70.7502838
SALVADOR GUTIÉRREZ,"Salvador Gutiérrez, entre Cinco de Febrero y Santos Medel",Cerro Navia,Ju y Do,-33.4192265,-70.7328337
ROOSEVELT,"Tomás Alba Edison, entre Jorge Washington y Estados Unidos",Cerro Navia,Ju y Do,-33.433736,-70.7346467
CAUQUENES,"Cauquenes, entre Lo López e Hipólito Salas",Cerro Navia,Mi y Sá,-33.4271065,-70.721766
MAPOCHO,"Mapocho, entre Huelén y Resbalón",Cerro Navia,Mi y Sá,-33.4228212,-70.7402393
MAR DE CHILE,"Mar de Chile, entre Costanera Sur y Las Fragatas",Cerro Navia,Mi y Sá,-33.4181069,-70.7651237
LA VIÑITA,"La Estrella, entre Mapocho y La Hondonada",Cerro Navia,Ma y Vi,-33.4222262,-70.7519476
NAHUELBUTA,"Nahuelbuta, entre Dos Oriente y Puntiagudo",Conchalí,Ju,-33.3801439,-70.6822504
LOS ACACIOS,"Cardenal Caro, entre Los Acacios y Carrera Pinto",Conchalí,Ju,-33.373452,-70.686104
SANDRA,"Sandra, entre Catalina y Alberto González",Conchalí,Ma,-33.3878242,-70.6665479
CONCHALÍ-EL PINO,"El Pino, entre Av",Conchalí,Independencia y Quilicura. Vi,-33.3836316,-70.6846109
MONTERREY,"Monterrey, entre Barón de Juras Reales y Vivaceta",Conchalí,Mi,-33.3943319,-70.6747886
CARDENAL CARO,"Cardenal Caro, entre Independencia y Estocolmo",Conchalí,Ma,-33.3745975,-70.682299
TENIENTE PONCE,"Teniente Ponce, entre Sandino y La Palmilla",Conchalí,Mi,-33.3879619,-70.6692979
BARÓN DE JURAS REALES 4,"Barón de Juras Reales, entre Zapadores y Emperador",Conchalí,Ma,-33.3772664,-70.6914878
CONCHALÍ-LINCOLN,"Abraham Lincoln, entre El Cortijo y Calle Quilicura",Conchalí,Do,-33.3822485,-70.6852388
INDEPNDENCIA 4,"Cardenal Caro, entre Pasaje Cuzco y Horacio Johnson",Conchalí,Sá,-33.3760564,-70.668937
ALBERTO GONZÁLEZ,"Alberto González, entre Zapadores y Principal",Conchalí,Do,-33.3789159,-70.6708245
BARÓN DE JURAS REALES 2,"Barón de Juras Reales, entre El Olivo y Zapadores",Conchalí,Sá,-33.3863904,-70.662895
GUANACO NORTE,"Guanaco, entre Principal y Zapadores",Conchalí,Vi.,-33.3863904,-70.662895
VECINAL SUR,"Vecinal Sur, entre San Francisco y Océano Atlántico",El Bosque,Mi y Sá,-33.5820529,-70.6624301
SANTA ELENA,"Los Sauces, entre Los Paltos y Los Boldos",El Bosque,Ju y Do,-33.565085,-70.6590396
LOS CAROLINOS,"Los Carolinos, entre Los Álamos y Los Morros",El Bosque,Ma y Sá,-33.5435498,-70.6651629
CAMINO DEL INCA,"Camino del Inca, entre Lolol y Los Morros",El Bosque,Ju y Do,-33.5435498,-70.6651629
CAPITÁN ÁVALOS,"Capitán Ávalos, entre Gran Avenida y Los Morros",El Bosque,Mi y Sá,-33.5435498,-70.6651629
COVARRUBIAS,"Julio Covarrubias, entre Aviadores y Jorge Luco",El Bosque,Ma y Vi,-33.5533592,-70.6607249
ARTURO PRAT SUR,"Nueva Poniente, entre Manuel Bulnes y Tomás Yávar",El Bosque,Mi y Sá,-33.5493952,-70.6570399
EL SAUCE,"Observatorio, entre Los Mimbres y Los Morros",El Bosque,Mi y Sá,-33.5435498,-70.6651629
VÍCTOR PLAZA MAYORGA,"Víctor Plaza Mayorga, entre Antonio Bórquez Del Solar y Los Copihues",El Bosque,Vi,-33.5488305,-70.6713604
LAGOS DE CHILE,"Los Nogales, entre Lo Espejo y Dieciocho de Septiembre",El Bosque,Ju y Do,-33.5406264,-70.6811818
SANTA LAURA,"Luis Barros Borgoño, entre Rengo e Indio Jerónimo",El Bosque,Do,-33.5505764,-70.6882635
LAS PARCELAS,"Las Parcelas, entre Los Morros y Peñablanca",El Bosque,Ma y Vi,-33.5815894,-70.6727692
TEMUCO,"Las Canteras, entre Zinc y Lampa",El Bosque,Ma y Vi,-33.5589761,-70.6787503
BARROS BORGOÑO,"Luis Barros Borgoño, entre Rengo y Javiera Carrera",El Bosque,Mi,-33.5574402,-70.6637029
RIVAS VICUÑA,"Manuel Rivas Vicuña, entre Cinco de Abril y Torslandia",Estación Central,Ma y Vi,-33.4680836,-70.7130949
CURACAVÍ,"Curacaví, entre Cinco de Abril y Las Parcelas",Estación Central,Ma y Vi,-33.4724953,-70.7210915
SAN JOSÉ,"San José, entre Juana Weber de Amunátegui y Cinco de Abril",Estación Central,Mi y Sá,37.3382082,-121.8863286
SANTA PETRONILA,"Santa Petronila, entre Embajador Quintana y Porto Seguro",Estación Central,Ju y Do,-33.4517103,-70.7049888
NOGALES,"Antártica, entre General Velásquez y Santa Teresa con Pingüinos",Estación Central,Ju y Do,-82.8627519,135.0
AMENGUAL,"Manuel Thompson, entre General Amengual y Recreo",Estación Central,Ju y Do,-33.4571074,-70.6967817
QUEMCHI,"Quemchi, entre Las Estepas y Palena",Estación Central,Ju y Do,-33.4711359,-70.7068685
SANTA TERESA,"Santa Teresa, entre Cinco de Abril y Veteranos del Setenta y Nueve",Estación Central,Ma y Vi,-33.459097,-70.6917972
SANTIAGO,"Luis Cruz Martínez, entre Padre Vicente Irarrázaval y Uspallata",Estación Central,Ma y Vi,-33.4745518,-70.6927346
CRISTO,"Las Violetas, entre El Boldo y Las Petunias",Estación Central,Ma y Vi,-33.4594226,-70.7081446
TAITAO,"Taitao, entre Aeropuerto y Lemuy",Estación Central,Mi y Sá,-46.3638889,-74.8083333
PABLO NERUDA,"Pablo Neruda, entre Jacarandá y Del Pincoy",Huechuraba,Mi y Sá,-33.3640879,-70.6297626
AGUIRRE LUCO,"Carlos Aguirre Luco, entre Elías Lafferte y Las Torres",Huechuraba,Ma,-33.3784219,-70.6419736
SALVADOR ALLENDE,"Camino al Bosque de Santiago, entre República de Estados Unidos y Los Pinos",Huechuraba,Do,-33.3749422,-70.6334318
GUANACO SUR,"Guanaco, entre Einstein y Av",Independencia,México. Ju y Do,-35.675147,-71.542969
COLÓN,"Colón, entre Fermín Vivaceta y Coronel Agustín López de Alcázar",Independencia,Ju y Do,-33.4253963,-70.6576915
EL PINO,"El Pino, entre Gamero y Los Ángeles",Independencia,Mi y Sá,-33.4222176,-70.6666953
CRONISTA GÓNGORA,"Cronista Góngora, entre Padre Faustino Gazziero (ex Corregimiento) y Juliet",Independencia,Mi y Sá,-33.4124624,-70.6683859
MIRADOR VIEJO,"Las Cañas, entre Nueva de Matte y Nueva Uno",Independencia,Mi y Sá,-33.408734,-70.6749751
MARURI,"Maruri, entre Domingo Santa María y Jacobo Vial",Independencia,Ma y Vi,-33.4156338,-70.6591683
ENRIQUE SORO,"Enrique Soro, entre Salomón Sack y Panamericana Norte",Independencia,Ma y Vi,-33.41883,-70.6724957
BALLESTEROS,"Inés Rivas, entre Alcalde Barrera y Manuel Rengifo",La Cisterna,Ju y Do,-33.5376556,-70.681895
BRISAS DEL MAIPO,"Brisas del Maipo, entre Industrias y Letras",La Cisterna,Ma y Vi,-33.5298772,-70.6733323
LO OVALLE,"Fuenzalida Urrejola, entre Angamos e Iquique",La Cisterna,Ju y Do,-33.5175394,-70.654076
GOYCOLEA,"Goycolea, entre Peró y Cerro Negro",La Cisterna,Ma y Vi,-33.5428344,-70.6515878
LUCERNA,"Lucerna, entre Colón y San Luis",La Cisterna,Ju y Do,-33.5187618,-70.6658915
ARTURO PRAT NORTE,"Nueva Poniente, entre Vicuña Mackenna y Manuel Bulnes",La Cisterna,Mi,-33.5484689,-70.655179
SAN RAMÓN,"Alejandro Vial, entre Uruguay y Las Brisas",La Cisterna,Mi y Sá,-33.5306529,-70.6545341
CHAITÉN,"Chaitén, entre Rojas Magallanes y Doctor Sótero Del Río",La Florida,Ju,-33.5355571,-70.5996173
VILLA O'HIGGINS 1,"Avenida Uno, entre José Miguel Carrera Poniente y Trinidad Poniente",La Florida,Mi,-33.5504143,-70.606529
VILLA O'HIGGINS 2,"Calle B, entre Santa Julia y Gerónimo de Alderete",La Florida,Vi,-33.5281089,-70.5829638
BELLAVISTA-SAN JORGE 1,"San Jorge, entre Juan Pablo II y Calle Nueva",La Florida,Vi,-33.5270033,-70.5902373
VILLA O'HIGGINS 3,"Santa Amalia, entre Santa Raquel y Manutara",La Florida,á,-33.5428473,-70.6034449
CALAMA,"Calama, entre Doctor Sótero del Río y Pasaje San Martín",La Florida,Ju,-33.5380195,-70.6077057
LOS COPÍHUES 1,"Departamental, entre Volcán Llaima y Los Cerezos",La Florida,Ju y Do,-33.5125985,-70.5536469
VILLA O'HIGGINS 4,"Los Alerces, entre Santa Raquel y Manutara",La Florida,Vi,-33.5418544,-70.603426
BELLAVISTA-PUDETO,"Pudeto, entre Cabildo y San Carlos de Ancud",La Florida,Do,-33.5197387,-70.6013638
BELLAVISTA-MÉXICO,"Santa Amalia, entre Colombia y México",La Florida,Mi,4.570868,-74.297333
BELLAVISTA-SAN JOSÉ DE LA ESTRELLA,"San José de la Estrella, entre México y Av",La Florida,La Florida. Ma,23.7275239,-103.4486435
MANUEL RODRÍGUEZ 1,"Santa Amalia, entre Pasaje Los Pinos y dos pasajes después",La Florida,i,-33.5226882,-70.5987142
LOS COPÍHUES 2,Av,La Florida,"La Florida, entre Departamental y Nazario Chacón Zamora. Sá",-33.5338641,-70.5740078
LOS COPÍHUES 3,"Gerónimo de Alderete, entre México y Alonso de Ercilla",La Florida,Ma,-33.52329,-70.5860636
LOS COPÍHUES 4,"Nazario Chacón Zamora, entre Walker Martínez y Pasaje Los Caiquenes",La Florida,Vi,-33.5327866,-70.6077028
LA UNIÓN 1,"General Arriagada, entre Bahía Catalina y Julio César",La Florida,Sá,-33.5584896,-70.6061017
VILLA O'HIGGINS 5,"Padre Luis de Valdivia, entre Américo Vespucio y Punta Arenas",La Florida,Mi,-33.5377524,-70.6102231
UNIÓN-SANTA RAQUEL,"General Arriagada, entre Santa Raquel y Manutara",La Florida,Do,-33.5587057,-70.6010688
MANUEL RODRÍGUEZ 2,"José Miguel Carrera, entre Vicuña Mackenna y Bacteriológico",La Florida,Do,-33.5544482,-70.5811219
BELLAVISTA-EL ULMO,"El Ulmo, entre Lago Pirihueico y El Belloto",La Florida,Vi,-33.5165947,-70.5955137
BELLAVISTA-SAN JORGE 2,"San Jorge, entre Vicuña Mackenna y Calle Diez",La Florida,Sá,-33.55972,-70.5790212
MANUEL RODRÍGUEZ 3,"Diego Portales, entre Valle Hermoso y Manuel Bulnes",La Florida,Mi,-33.5596846,-70.5616791
BELLAVISTA-ENRIUE OLIVARES,"Enrique Olivares, entre Colombia y Perú",La Florida,Ju,4.570868,-74.297333
MANUEL RODRÍGUEZ 4,"México, entre San José de la Estrella y San Jorge",La Florida,Ju,23.634501,-102.552784
MANUEL RODRÍGUEZ-EL PARQUE,Av,La Florida,"El Parque, entre México y Calle Nueva. Ma",-33.5338641,-70.5740078
MANUEL RODRÍGUEZ-SAN JORGE,"San Jorge, entre México y Calle Nueva",La Florida,Ma,19.4326077,-99.133208
VILLA O'HIGGINS 6,"Rojas Magallanes, entre Américo Vespucio y Lircay",La Florida,Do,-33.5355483,-70.6011133
LA UNIÓN 2,"San José de la Estrella, entre Bahía Catalina y Punta Arenas",La Florida,Vi,-33.5541259,-70.6126991
LA UNIÓN 3,"Jorge Cisternas Lema, entre La Serena y Bahía Catalina",La Florida,Ma,-33.5580728,-70.6115854
VILLA O'HIGGINS-CALLE B Nº. 1,"Calle B, entre Santa Julia y Gerónimo de Alderete",La Florida,Ma,-33.5281089,-70.5829638
VILLA O'HIGGINS-CALLE B Nº. 2,"Los Alerces, entre Santa Raquel y Manutara",La Florida,Ma,-33.5418544,-70.603426
EX INDUSTRIALES,"Calle O, entre Central y el Callejón Lo Ovalle",La Granja,Ju y Do,-33.5162683,-70.6241245
TOMÉ,Av,La Granja,"Tomé, entre Av. Santa Rosa y Los Vilos. Ma y Vi",-33.5396778,-70.6275393
MANCO CAPAC,"Manco Capac, entre Coronel y Punta Arenas",La Granja,Ju y Do,-33.5509375,-70.61076
OSORNO,"Osorno, entre Coronel y Américo Vespucio",La Granja,Ma y Vi,-40.5761897,-73.1149469
SANTA CLAUDIA,"Vicuña Mackenna, entre Joaquín Edwards Bello y Sofía Eastmann de Hunneeus",La Granja,Ma y Vi,-33.5563097,-70.6240643
LA COPA,"Mañío, entre Yungay y Padre Esteban Gumucio",La Granja,Ma y Vi,-33.5238194,-70.6210402
TACORA,Av,La Granja,"Sur, entre Los Vilos y El Tabo. Mi y Sá",-33.5396778,-70.6275393
MALAQUÍAS CONCHA,"Combarbalá, entre Coronel y Quilpué",La Granja,Mi y Sá,-33.5295252,-70.6216541
CORONEL,"Coronel, entre Tomé y Valdivia",La Granja,Ju y Do,-33.5333568,-70.6185893
MAÑÍO,"Sebastopol, entre El Parque y 27 Oriente",La Granja,Mi y Sá,-33.5184023,-70.6206543
